Shape,AMI (FLOPS/Byte),P100 - FLOPS,V100 - FLOPS,A100 - FLOPS,P100 - % of Peak,V100 - % of Peak,A100 - % of Peak,V100 / P100,A100 / V100,Util Decreases?,V-P,V-A,P100 R^2,V100 R^2,A100 R^2
Matmul(M=16384 N=1024 K=4096 layout='NT'),963.76,8.34E+12,7.93E+13,1.62E+14,39.35%,63.45%,51.96%,9.51,2.04,FALSE,-24.10%,11.49%,0.120,0.307,0.288
Conv2D(B=2 C=512 K=2048 H=23 W=40 P=23 Q=40 R=1 S=1 stride=1),969.22,5.90E+12,3.23E+13,5.58E+13,27.81%,25.85%,17.90%,5.48,1.73,TRUE,1.96%,7.95%,0.111,0.410,0.372
Matmul(M=32768 N=1024 K=256 layout='NT'),992.97,6.97E+12,6.02E+13,1.17E+14,32.85%,48.18%,37.60%,8.65,1.95,FALSE,-15.32%,10.58%,0.086,0.371,0.333
Conv2D(B=2 C=256 K=256 H=23 W=40 P=23 Q=40 R=3 S=3 stride=1),1023.01,7.99E+12,2.93E+13,4.15E+13,37.70%,23.43%,13.29%,3.66,1.42,TRUE,14.27%,10.14%,0.066,0.404,0.355
Conv2D(B=40 C=256 K=256 H=7 W=7 P=7 Q=7 R=3 S=3 stride=1),1059.06,9.10E+12,2.86E+13,4.29E+13,42.95%,22.91%,13.74%,3.14,1.50,TRUE,20.04%,9.16%,0.051,0.352,0.298
Conv2D(B=1 C=128 K=128 H=92 W=160 P=92 Q=160 R=3 S=3 stride=1),1068.39,1.06E+13,3.97E+13,6.57E+13,49.96%,31.78%,21.07%,3.75,1.65,TRUE,18.18%,10.71%,0.041,0.287,0.230
Conv2D(B=2 C=128 K=128 H=92 W=160 P=92 Q=160 R=3 S=3 stride=1),1108.62,1.07E+13,4.10E+13,7.68E+13,50.56%,32.81%,24.63%,3.83,1.87,TRUE,17.74%,8.18%,0.040,0.231,0.167
Conv2D(B=1024 C=128 K=128 H=48 W=48 P=48 Q=48 R=3 S=3 stride=1),1151.44,1.32E+13,5.42E+13,9.59E+13,62.17%,43.35%,30.74%,4.11,1.77,TRUE,18.82%,12.61%,0.039,0.169,0.107
Conv2D(B=2 C=512 K=512 H=23 W=40 P=23 Q=40 R=3 S=3 stride=1),1314.94,9.07E+12,4.68E+13,8.40E+13,42.78%,37.40%,26.91%,5.15,1.80,TRUE,5.38%,10.49%,0.058,0.146,0.066
Matmul(M=2048 N=4096 K=1024 layout='NT'),1365.33,7.85E+12,6.76E+13,1.64E+14,37.05%,54.09%,52.60%,8.61,2.43,FALSE,-17.05%,1.50%,0.046,0.096,0.022
Conv2D(B=1 C=256 K=256 H=46 W=80 P=46 Q=80 R=3 S=3 stride=1),1416.90,1.09E+13,4.20E+13,7.12E+13,51.23%,33.64%,22.81%,3.87,1.69,TRUE,17.59%,10.83%,0.026,0.114,0.052
Matmul(M=8192 N=2048 K=512 layout='NT'),1638.40,8.12E+12,6.55E+13,1.48E+14,38.31%,52.36%,47.33%,8.06,2.26,FALSE,-14.05%,5.03%,0.023,0.044,0.002
Conv2D(B=2 C=256 K=256 H=46 W=80 P=46 Q=80 R=3 S=3 stride=1),1754.70,1.25E+13,4.79E+13,1.02E+14,58.76%,38.31%,32.63%,3.84,2.13,TRUE,20.45%,5.68%,0.010,0.041,0.003
Matmul(M=2048 N=12288 K=49152 layout='NT'),1755.43,8.01E+12,5.92E+13,1.90E+14,37.78%,47.38%,60.92%,7.39,3.21,FALSE,-9.60%,-13.55%,0.011,0.013,0.002
Matmul(M=2048 N=12288 K=12288 layout='NT'),1755.43,8.46E+12,7.55E+13,1.47E+14,39.90%,60.37%,47.16%,8.92,1.95,FALSE,-20.47%,13.21%,0.002,0.003,0.005
Matmul(M=2048 N=36864 K=12288 layout='NT'),1940.21,4.74E+12,7.87E+13,1.80E+14,22.35%,62.92%,57.72%,16.60,2.29,FALSE,-40.57%,5.20%,0.001,0.007,0.007
Matmul(M=2048 N=49152 K=12288 layout='NT'),1966.08,4.70E+12,8.36E+13,1.80E+14,22.16%,66.91%,57.72%,17.80,2.15,FALSE,-44.75%,9.19%,0.023,0.015,0.031
Conv2D(B=1 C=256 K=256 H=92 W=160 P=92 Q=160 R=3 S=3 stride=1),1992.18,1.29E+13,5.32E+13,1.06E+14,60.63%,42.55%,33.95%,4.14,1.99,TRUE,18.08%,8.61%,0.108,0.041,0.092
Matmul(M=196608 N=2048 K=128 layout='NT'),2026.89,6.38E+12,4.55E+13,8.09E+13,30.08%,36.42%,25.92%,7.14,1.78,FALSE,-6.34%,10.51%,0.145,0.016,0.056
Conv2D(B=2 C=256 K=256 H=92 W=160 P=92 Q=160 R=3 S=3 stride=1),2136.77,1.29E+13,5.66E+13,1.14E+14,60.76%,45.27%,36.40%,4.39,2.01,TRUE,15.49%,8.88%,0.428,0.001,0.005
Conv2D(B=1024 C=257 K=256 H=6 W=6 P=6 Q=6 R=3 S=3 stride=1),2168.47,2.35E+13,8.51E+13,1.68E+14,111.04%,68.07%,53.97%,3.61,1.98,TRUE,42.97%,14.10%,0.559,0.023,0.002
Conv2D(B=1024 C=256 K=256 H=6 W=6 P=6 Q=6 R=3 S=3 stride=1),2168.47,2.43E+13,1.04E+14,1.96E+14,114.61%,83.46%,62.93%,4.29,1.88,TRUE,31.16%,20.52%,0.565,0.011,0.000
Conv2D(B=1 C=256 K=256 H=184 W=320 P=184 Q=320 R=3 S=3 stride=1),2217.24,1.36E+13,5.91E+13,1.18E+14,64.16%,47.26%,37.88%,4.34,2.00,TRUE,16.89%,9.38%,0.750,0.059,0.133
Conv2D(B=2 C=256 K=256 H=184 W=320 P=184 Q=320 R=3 S=3 stride=1),2259.79,1.35E+13,5.95E+13,1.23E+14,63.81%,47.63%,39.32%,4.40,2.06,TRUE,16.19%,8.30%,0.840,0.009,0.057
Conv2D(B=1024 C=256 K=256 H=12 W=12 P=12 Q=12 R=3 S=3 stride=1),2268.55,1.69E+13,8.44E+13,1.69E+14,79.76%,67.56%,54.27%,4.99,2.01,TRUE,12.20%,13.28%,0.994,0.152,0.012
Conv2D(B=1024 C=256 K=256 H=24 W=24 P=24 Q=24 R=3 S=3 stride=1),2295.04,1.75E+13,7.17E+13,1.43E+14,82.70%,57.35%,45.91%,4.09,2.00,TRUE,25.35%,11.44%,1.000,1.000,1.000
Matmul(M=16384 N=4096 K=1024 layout='NT'),3276.80,7.36E+12,7.37E+13,1.54E+14,34.71%,58.95%,49.45%,10.01,2.09,FALSE,-24.24%,9.49%,,,
